15_inch_main_armament;15-inch Main Armament
DECREASEOPINION_DI;Opinion Decrease
DECREASEOPINION_OTHER_ACCEPT_1;即$RECIPIENT$劬
DECREASEOPINION_OTHER_ACCEPT_2;$MONARCHTITLE$, we have been
DECREASEOPINION_OTHER_ACCEPT_3;informed that 即$ACTOR$劬 has spread
DECREASEOPINION_OTHER_ACCEPT_4;rumors about 即$TARGET$劬 in 即$RECIPIENT$劬.
DECREASEOPINION_OTHER_ACCEPT_5;It seems that this lowered
DECREASEOPINION_OTHER_ACCEPT_6;the opinion of them to 即$OPINION$劬.
DECREASEOPINION_OTHER_ACCEPT_BTN1;OK
DECREASEOPINION_OTHER_ACCEPT_BTN2;OK
DECREASEOPINION_OTHER_ACCEPT_BTN3;Go to
DECREASEOPINION_OTHER_ACCEPT_HEADER;The Foreign Minister reports
DECREASEOPINION_OTHER_ACCEPT_LOG;$ACTOR$ has lowered the opinion of $TARGET$ in $RECIPIENT$ to $OPINION$.
DECREASEOPINION_OTHER_ACCEPT_SETUP;When a nation decreases the opinion of another nation
DECREASEOPINION_THEY_ACCEPT_1;即$RECIPIENT$劬
DECREASEOPINION_THEY_ACCEPT_2;$MONARCHTITLE$, we have successfully
DECREASEOPINION_THEY_ACCEPT_3;lowered the opinion of 即$TARGET$劬
DECREASEOPINION_THEY_ACCEPT_4;in 即$RECIPIENT$劬.
DECREASEOPINION_THEY_ACCEPT_5;Their opinion of them is now 即$OPINION$劬.
DECREASEOPINION_THEY_ACCEPT_6;*
DECREASEOPINION_THEY_ACCEPT_BTN1;OK
DECREASEOPINION_THEY_ACCEPT_BTN2;OK
DECREASEOPINION_THEY_ACCEPT_BTN3;Go to
DECREASEOPINION_THEY_ACCEPT_HEADER;The Foreign Minister reports
DECREASEOPINION_THEY_ACCEPT_LOG;We decreased the opinion of $TARGET$ in $RECIPIENT$ to $OPINION$.
DECREASEOPINION_THEY_ACCEPT_MAP;Opinion decreased
DECREASEOPINION_THEY_ACCEPT_SETUP;When we decrease the opinion of another nation
DECREASEOPINION_WE_ACCEPT_1;即$TARGET$劬
DECREASEOPINION_WE_ACCEPT_2;$MONARCHTITLE$, we have been
DECREASEOPINION_WE_ACCEPT_3;convinced by 即$ACTOR$劬 that
DECREASEOPINION_WE_ACCEPT_4;即$TARGET$劬 is not to be trusted.
DECREASEOPINION_WE_ACCEPT_5;Our opinion of them has been lowered to 即$OPINION$劬
DECREASEOPINION_WE_ACCEPT_6;*
DECREASEOPINION_WE_ACCEPT_BTN1;OK
DECREASEOPINION_WE_ACCEPT_BTN2;OK
DECREASEOPINION_WE_ACCEPT_BTN3;Go to
DECREASEOPINION_WE_ACCEPT_HEADER;The Foreign Minister reports
DECREASEOPINION_WE_ACCEPT_LOG;$ACTOR$ has lowered our opinion of $TARGET$ to $OPINION$.
DECREASEOPINION_WE_ACCEPT_MAP;Opinion decreased
DECREASEOPINION_WE_ACCEPT_SETUP;When a nation decreases the opinion of another nation in our country
DECREASEOPINIONTITLE;Decrease Opinion of Great Power
DECREASERELATION_BUTTON;Decrease Relations
DECREASERELATION_DESC;Decreases the relations between our countries.
DECREASERELATION_DI;Decrease Relation
DECREASERELATION_OTHER_ACCEPT_1;即$RECIPIENT$劬
DECREASERELATION_OTHER_ACCEPT_2;$MONARCHTITLE$, we have heard that
DECREASERELATION_OTHER_ACCEPT_3;即$ACTOR$劬 has insulted 即$RECIPIENT$劬.
DECREASERELATION_OTHER_ACCEPT_4;Their relations have taken a turn for the worse.
DECREASERELATION_OTHER_ACCEPT_5;*
DECREASERELATION_OTHER_ACCEPT_6;*
DECREASERELATION_OTHER_ACCEPT_BTN1;OK
DECREASERELATION_OTHER_ACCEPT_BTN2;OK
DECREASERELATION_OTHER_ACCEPT_BTN3;Go to
DECREASERELATION_OTHER_ACCEPT_HEADER;The Foreign Minister reports
DECREASERELATION_OTHER_ACCEPT_LOG;$ACTOR$ has decreased their relations with $RECIPIENT$.
DECREASERELATION_OTHER_ACCEPT_SETUP;When a nation decreases their relations with another nation
DECREASERELATION_THEY_ACCEPT_1;即$RECIPIENT$劬
DECREASERELATION_THEY_ACCEPT_2;$MONARCHTITLE$, we all know that we really despise
DECREASERELATION_THEY_ACCEPT_3;即$RECIPIENT$劬. Which we had no trouble telling them.
DECREASERELATION_THEY_ACCEPT_4;They seemed shocked by the news,
DECREASERELATION_THEY_ACCEPT_5;which have led to increased tension between our countries.
DECREASERELATION_THEY_ACCEPT_6;Our relation changed by 刪$CHANGE$劬 to 即$RELATION$劬.
DECREASERELATION_THEY_ACCEPT_BTN1;OK
DECREASERELATION_THEY_ACCEPT_BTN2;OK
DECREASERELATION_THEY_ACCEPT_BTN3;Go to
DECREASERELATION_THEY_ACCEPT_HEADER;The Foreign Minister reports
DECREASERELATION_THEY_ACCEPT_LOG;We have decreased our relations with $RECIPIENT$.
DECREASERELATION_THEY_ACCEPT_MAP;Relation decreased
DECREASERELATION_THEY_ACCEPT_SETUP;When we decrease our relations with a nation
DECREASERELATION_WE_ACCEPT_1;即$ACTOR$劬
DECREASERELATION_WE_ACCEPT_2;$MONARCHTITLE$, we have been informed by
DECREASERELATION_WE_ACCEPT_3;即$ACTOR$劬 that they don't like our ways.
DECREASERELATION_WE_ACCEPT_4;That's ok, we don't like their ways either.
DECREASERELATION_WE_ACCEPT_5;Our relation changed by 刪$CHANGE$劬 to 即$RELATION$劬.
DECREASERELATION_WE_ACCEPT_6;*
DECREASERELATION_WE_ACCEPT_BTN1;OK
DECREASERELATION_WE_ACCEPT_BTN2;OK
DECREASERELATION_WE_ACCEPT_BTN3;Go to
DECREASERELATION_WE_ACCEPT_HEADER;The Foreign Minister reports
DECREASERELATION_WE_ACCEPT_LOG;$ACTOR$ has decreased their relations with us.
DECREASERELATION_WE_ACCEPT_MAP;Relation decreased
DECREASERELATION_WE_ACCEPT_SETUP;When a nation decreases their relations with us
DECREASERELATIONTITLE;Decrease Relations
DECWARDESC;Selecting this option will allow you to offer a peace deal to your enemy
DECWARREQDESC;Declaring war is, sometimes, the last resort of diplomacy. The act of declaring war will reduce the view other countries have of you, especially if you do not have a legitimate reason to do so. It may also reduce your stability. Are you sure you wish to do this?
DECWARREQDESC2;Declare war on $COUNTRY$.
deep_defense_system;Deep Defense System
deep_defense_system_desc;Deep Defense System
deeply_religious;Deeply Religious
Default;Default
DEFAULT_ORG;Organisation
DEFENCE;Defence
DEFENCE_DESC;The defence spending goes towards paying your soldiers and officers
DEFENDER;Defender
DEFENDING_OI;Defending.
defensive_attitude;Defensive Attitude
defensive_attitude_desc;This meant having a High Sea Navy as a fleet-in-being and only fighting the ultimate battle as a last resort or as a great opportunity.
defiant;Defiant
DEFINE_ADMIRAL_EFFECT;Gain the service of 即Admiral $NAME$劬 ($PER$ $BAC$).\n
DEFINE_GENERAL_EFFECT;Gain the service of 即General $NAME$劬 ($PER$ $BAC$).\n
DEFINE_RULER_EFFECT;即$NAME$劬 becomes ruler.\n
delegated_power;Delegated Power
delegated_power_desc;This meant that an officer could temporary delegate authority to one or more of his subordinates when it came to clearly defined areas of responsibilities. This meant that he did not have to control everything himself at all times and that he could focus on the important questions.
DEMAND;Demand: $VAL$
demand_concession_casus_belli;Demand Concession
demand_concession_casus_belli_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.
demand_concession_casus_belli_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.
demand_concession_casus_belli_short;Demand $STATE$
DEMAND_CRISIS_PEACE;Demand concessions
DEMAND_PEACE;Demand peace terms
DEMOBILISE;Demobilize
DEMOBILIZE;DEMOBILIZE
democracy;Democracy
democracy_ruler;President
DEN;Denmark
DEN_251;Iceland & Greenland
DEN_367;Jylland
DEN_372;Sjaelland
DEN_ADJ;Danish
DES;Deseret
DES_ADJ;Mormon
DES_anarcho_liberal;Radical Party
DES_communist;Communist Party
DES_conservative;Union Party
DES_fascist;Fascist Party
DES_liberal;Liberal Party
DES_reactionary;Mormon People's Party
DES_socialist;Socialist Party
desc_abolitionist_society;An abolitionist society in this province is spreading pamphlets decrying slavery, and calling for its abolition.
desc_am_everywhere;A fascist newspaper have released its first copy in the province.
desc_american_anti_slavery_society;A society dedicated to the abolition of slavery operates in this province.
desc_anaconda_plan;The Union is blockading our ports using Winfield Scott's Anaconda Plan. While they do, our war exhaustion will increase at an increased rate, slowly choking us to death. We must secure port access!
desc_anarchic_bomb_throwers;Less money for crime fighting results in lowered ability to respond to security threats like anarchist uprisings.
desc_anti_jacobin_tract;A tract arguing the causes of counter-revolution, order, religion and monarchy has received widespread circulation in our country.
desc_beer_hall_putsch; 
desc_beer_halls;This province has a Beer Hall, a Saloon or a Bar for every occasion, and the citizens spend a fair amount of their time in them.
desc_black_shirts;Blackshirts are provoking the residents in the province.
desc_blood_and_iron_mine;A rich, but dangerous and difficult, lode of iron ore is being mined in this province.
desc_boer_exodus;Boers are leaving this province en masse for the hinterland and the Boer Republics.
desc_border_ruffians;Border Ruffians is souring the quality of life for people in this province.
desc_cholera_epidemic_big;Cholera has broken out in this province, and threatens to spread.
desc_cholera_epidemic_small;Cholera has broken out in this province, and threatens to spread.
desc_citizen_guard;Less money for crime fighting results in lowered ability to respond to security threats like battling street gangs.
desc_conservative_reaction;Conservatives in parliament are dissatisfied.
desc_copperhead_democrats;Pro-secessionist Democrats are active in this province
desc_destitution_and_poverty;The consumption of alcohol is fast becoming a major social problem in this province
desc_discriminatory_school_system;Our school system discriminates against citizens who are not of our national culture.
desc_dryzymalas_wagon;Old man Dryzymala avoids the building ban by living in a wagon
desc_educational_reform;We have reformed our educational system. While this helps our research, it is also highly unpopular among the traditionalists.
desc_european_military_mission;A Great Power has established a military mission in this province.
desc_extraterritoriality_granted;Our country has granted extraterritoriality to citizens of the Great Powers.
desc_fascist_welfare; 
desc_flying_university;An underground organisation provides higher education in a minority language
desc_foreign_smugglers;A smuggling ring run by foreigners operates in this province.
desc_foreign_trading_post;A separate class of our citizens, kept apart from the general populace, administer a trading post for foreigners in this province.
desc_free_corps;Inspired by the Blackshirts, the Free Corps are a nuisance in your province.
desc_free_staters;Free-Staters are active in this province, working to ensure its accession into the Union as a free state.
desc_global_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.
desc_gold_rush;This province is booming due to the discovery of gold
desc_government_sanitarium;The Government operates a sanitarium for tuberculosis patients in this province.
desc_immoral_business;With rising crime rates and less government control, businessmen would become more and more centered on their own profits. This results in a higher risk of collapse for the entire system, as everybody strives for personal interests.
desc_kettler_denkmal;This memorial to a foreign diplomat stands as a permanent reminder to our people that our independence is being sold short by our government.
desc_knights_of_the_golden_circle;A secret society dedicated to the advancement of slavery operates in this province.
desc_labor_union;Workers have joined forces and created a labor union in your province.
desc_leagation_quarter;There is a Legation Quarter for foreign embassies in this province
desc_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.
desc_liberal_reaction;Liberals in parliament are dissatisfied.
desc_liberian_research_boost;We are enjoying the benefits of independence, as our new nation progresses ever faster on the road to Modernity.
desc_libertine_culture;Our nation takes a libertine approach to the use of alcohol. Eleven bottles of beer on the wall, yo-ho-ho and a bottle of rum.
desc_liquor_prohibition;The sale, possession and use of alcoholic beverages is prohibited in our country.
desc_local_distribution_channels;New and efficient modes and structures for the selling and reselling of goods have been implemented in this province, leaving farmers free to tend their fields.
desc_local_economic_downturn;This province has taken a temporary economic hit, but should recover within a few years.
desc_local_electricity;Electrical Lights have been put up on the streets in this province, increasing the efficiency of all local production, as workers work in new and well lit environs.
desc_local_machine_tools;The mining process in this province is carried out with new and mechanized tools, increasing the efficiency of local mining operations.
desc_local_nitroglycerin;Knowledge of the use of modern explosives has spread to this province, aiding local mining ventures.
desc_local_opium_habit;Our subjects in this province have taken to opium eating on an epidemic scale.
desc_local_tractors;Mechanized farming has arrived in this province in the form of tractors, increasing the efficiency, and reducing the labour intensity, of local farming.
desc_machine_politics;The system of machine politics was in essence the bribery of mainly minorities by politicians using their influence. It was common to use the appointment for government jobs as a means of bribery within this system.
desc_mafia;If the crime fighting institutions in a province become overstretched, organized crime in form of a mafia would develop. Such organizations resulted in lowered productivity in the province.
desc_military_reform;We are in the process of reforming our army to European standards
desc_minority_building_restrictions;Our country enforces policies that prevent minorities from constructing permanent buildings, even on land they own.
desc_muhammad_alis_reforms;We have instituted the reforms of Muhammad Ali, and our research fares better because of it.
desc_national_pride;The whole country is joyous.
desc_national_tragedy;Our nation mourns another young girl lost to the coal fields.
desc_national_workshops;National Workshops helps the unemployed.
desc_naval_school;The Merchant Marine operates a Naval School in this province, providing lessons in leadership and education in the latest naval technologies
desc_organic_work;A movement dedicated to work as a form of resistance operates in this province.
desc_pandemic_influenza;A Pandemic influenza has broken out in our country, killing thousands. We can only hope that it spreads to our enemies as well.
desc_potato_blight;Famine spreads as crops lie, dead and rotting, in our fields.
desc_protector_of_eastern_christendom;We have claimed the title of Protector of Eastern Christendom within the Ottoman Empire. Our prestige rises, but beware of losing a war: We might lose the title
desc_province_strike;Workers have gone on strike in your province.
desc_rotten_boroughs;The system of rotten boroughs was a system to create such small voting districts that a certain victory could be won through plain bribery.
desc_sayings_of_the_dutch;We have translated a large amount of western literature and incorporated it fully into our national body of knowledge, boosting our scientific research.
desc_silk_famine;A local outbreak of Pebrine prevents local silk farms from operating at full capacity
desc_spoil_system;Lacking sufficient control institutions, politicians would eventually use their power and influence for their personal wealth and glory. This results in increased militancy of the whole population in the province.
desc_strike_solution;Your generosity have stopped the strike.
desc_temperance_league;Our nation has a strong and prominent temperance league with a fair amount of traction even within government circles.
desc_terrorist_cells;With less security personnel around in the province, terrorists have an easier time hiding and waiting for opportunities to strike.
desc_the_homestead_act;The Homestead Act allows any eligible applicant a freehold title to a settlement 160 acres in size. Rumor of free land for the taking has spread to Europe, and the world, and poor, huddled masses, yearning to breathe free flock to our shores.
desc_the_massacre;A group of people consisting of socialists and liberals have been murdered.
desc_the_slavery_debate;The debate over slavery is alive in The United States, and popular consciousness over the issue is rising every day. If the Upper House ever has 30 percent or more Liberal representation, the South might very well decide to secede.
desc_trade_restrictions;Our country has a policy of regulating and banning certain imports and exports.
desc_trade_union;Workers have joined forces and created a trade union in your province.
desc_trek_boers;Boers from the Cape Colony are migrating to this province. A small trickle in the stream that what will later be known as 'The Great Trek'.
desc_trusts;Less government investment into crime fighting results in a very unfair distribution of the wealth in a province. The rich would get even richer, while the poor would get poorer.
desc_uncivilized_isolationism;Our country has closed its ports and borders to foreigners.
desc_underground_railroad;An Underground Railroad operates in this province, bringing slaves to freedom.
desc_western_influences;Our government pursues a policy of active encouragement of Western Influences.
desc_western_presence;An expatriate community of foreigners, from various European countries and Great Powers, has formed here.
DESELECT_UNIT;Deselect Current Unit
DESELECT_UNIT_DRO;This button will close the current unit window
desert;Desert
destitution_and_poverty;Destitution & Poverty
destroyers;Destroyers
destroyers_desc;Destroyers are built mainly to combat the increasing threat from torpedo boats. They are equipped with several small-calibre gun turrets that can lay a barrage of shells in front of the small craft.
determinism;Determinism
determinism_desc;Determinism is a philosophical doctrine holding that all events are inevitable consequences of sufficient causes. This is often understood as denying the possibility of free will.
dice;Dice
die_groot_trek_desc;The Great Trek was an exodus of South African farmers of primarily Dutch descent - Boers - from the British controlled Cape Colony to lands beyond the Orange and Vaal rivers, and to the 'Boer republics' established by their kinsmen in the South African hinterland.
die_groot_trek_title;Die Groot Trek
die_wacht_am_rhein_desc;In 1840, France's then prime minister Adolphe Thiers had claimed that the river Rhine constituted the natural eastern border of the French nation, sparking what would later become known as the Rhine Crisis, as this was perceived in Germany as a threat to Prussian possessions on the western bank of the river. In response to these events, the poet and merchant Max Schneckenburger wrote a patriotic poem calling on the 'Fatherland to remain calm', for, as the poem says, 'fast and true stands the watch at the Rhine', implying that the German nation would defend the river against any and all (French) aggression. The poem was put to music in 1854, and became extremely popular in Germany during the Franco-Prussian war of 1870-71.
die_wacht_am_rhein_title;Die Wacht am Rhein
DIFF_EASY;Easy
DIFF_HARD;Hard
DIFF_NORMAL;Normal
DIFF_VERY_EASY;Very Easy
DIFF_VERY_HARD;Very Hard
DIG_IN_TOOLTIP_1;Current dig-in level: $LEV$/$MAX$.
DIG_IN_TOOLTIP_2;It takes 即$DAYS$e! days to increase dig-in level by eG+$VAL$e!.
digin;Dig-In
DIGIN_FROM_TECH;Dig-In Cap
dinka;Dinka
DIP_ENOUGH_DIPLO;This will cost us 即$NEEDED$劬 of our 即$CURRENT$劬 diplomatic points.
DIP_ENOUGH_INFLUENCE;This will cost us 即$NEEDED$劬 of our 即$CURRENT$劬 influence.
DIP_INFLUENCECOST;This will cost us 即$COST$劬 diplomatic influence points.
DIP_NO_DIPLO;You only have 刪$CURRENT$劬 of the 即$NEEDED$劬 diplomatic points required
DIP_NO_INFL;You do not have the 即$INF$劬 diplomatic influence required
DIP_NO_INFLUENCE;You only have 刪$CURRENT$劬 of the 即$NEEDED$劬 influence required
DIP_THEY_PUPPET;They are a puppet state of 即$OVERLORD$劬
DIP_THEY_TO_NEUTR;Their neutrality is too high. It is currently 即$NOW$劬 and needs to be below 即$LIM$劬.
DIP_THREAT;This will generate 即$AMOUNT$劬 threat in 即$PROV$劬
DIP_TO_NEUTR;Our neutrality is too high. It is currently 即$NOW$劬 and needs to be below 即$LIM$劬.
DIP_WAR_NEUTR;We cannot declare war because our neutrality is higher than the present threat. Our neutrality is currently 即$NEUT$劬 and the effective threat between us and $THEM$ allows us to declare war when our neutrality is at 即$THREAT$劬.
DIPCHANCE_IMPOSSIBLE;Impossible
DIPCHANCE_LIKELY;Likely
DIPCHANCE_MAYBE;Maybe
DIPCHANCE_UNLIKELY;Unlikely
DIPCHANCE_VLIKELY;Very Likely
DIPCHANCE_VUNLIKELY;Very Unlikely
DIPL_AT_WAR;Not allowed while at war
DIPL_NOT_AT_WAR;We are not at war
DIPLO_CALL_ALLIES;Call Allies
DIPLO_THEY_DOMINION;They are a dominion of our nation
DIPLO_THEY_SATELLITE;They are a satellite of our nation
DIPLO_THEY_SUBSTATE;They are a substate of our nation
DIPLO_WE_DOMINION;We are a dominion of theirs
DIPLO_WE_SATELLITE;We are a satellite of theirs
DIPLO_WE_SUBSTATE;We are a substate of theirs
DIPLOICON_TIP;$TYPE$ from 即$NATION$劬. \n If we do not respond before 即$DATE$劬 we will autodecline.
DIPLOICON_TIP_NONATION;$TYPE$. \n If we do not respond before 即$DATE$劬 we will autodecline.
DIPLOMACY;Diplomacy
DIPLOMACY;Diplomacy
DIPLOMACY_ACCEPTEDCULTURE_DESC;Our accepted culture(s) are people that are tolerated in our country
DIPLOMACY_ADD_WARGOAL;Add Wargoal
DIPLOMACY_AGAINST;against
DIPLOMACY_AI_ACCEPTANCE;即$COUNTRY$劬's response: 即$ODDS$劬
DIPLOMACY_ALLIES;Allied with:
DIPLOMACY_ALMOST_WESTERN_NATION_STATUS;Partially Westernized Nation
DIPLOMACY_ALREADY_IN_WAR;Already involved in this war.
DIPLOMACY_AT_WAR_WITH;At war with:
DIPLOMACY_BOSS;Boss
DIPLOMACY_BRIGADES;Brigades: 即$VALUE$劬
DIPLOMACY_CALL_ALLIES_NOT_LEADER;We are not a leader of this war and cannot call our allies into it
DIPLOMACY_CAN_INTERVENE;Intervene in War
DIPLOMACY_CANNOT_INTERVENE;Intervene in War\nWe cannot join this side because:
DIPLOMACY_CANNOT_JOIN_WAR;Cannot join war against the following nations because:\n
DIPLOMACY_CANNOT_JOIN_WAR_ALLIED_ENEMY;Allied with 即$COUNTRY$劬 in another war, we cannot start another war against them.
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_ALLY;Already at war with 即$COUNTRY$劬, we cannot join their side in this war.
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_ENEMY;Already at war with 即$COUNTRY$劬, we cannot start another war against them.
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_WARGOAL;We cannot join a side that has added any wargoals(except 即Status Quo劬).
DIPLOMACY_CANNOT_SET_PRIO;We're not a 即Great Power劬, thus we cannot influence other nations
DIPLOMACY_CANNOT_SET_PRIO_BANNED;We cannot influence this nation since our embassy is banned
DIPLOMACY_CANNOT_SET_PRIO_GP;We cannot influence other 即Great Powers劬
DIPLOMACY_CANNOT_SET_PRIO_MYVASSAL;They are a 即$TYPE$劬 of ours and are always in our 即Sphere of Influence劬
DIPLOMACY_CANNOT_SET_PRIO_VASSAL;We cannot influence other countries' 即Satellites劬 or 即Dominions劬
DIPLOMACY_CANNOT_SET_PRIO_WAR;We cannot influence this nation while we have a war with them.
DIPLOMACY_CASUSBELLIS;Casus bellis:
DIPLOMACY_CB_INFO;War Justification
DIPLOMACY_CIVILIZEDNATION_STATUS;Civilized Nation
DIPLOMACY_CLOSE_WINDOW;Closes diplomacy window
DIPLOMACY_COLONIALNATION_STATUS;Secondary Power
DIPLOMACY_CORDIAL_LABEL;Cordial:
DIPLOMACY_COUNTRY;Country
DIPLOMACY_CRISIS_INFO;Crisis
DIPLOMACY_DAILYINFLULENCE_GAIN;We gain 即$NUM$劬 influence in 即$COUNTRY$劬 each day. Our base influence gain is 即$BASE$劬
DIPLOMACY_ECONIMIC;Ind.
DIPLOMACY_FILTER_AFRICA;Africa
DIPLOMACY_FILTER_AFRICA_TOOLTIP;List 即African劬 countries
DIPLOMACY_FILTER_ALL;All
DIPLOMACY_FILTER_ALL_TOOLTIP;List all countries
DIPLOMACY_FILTER_ALLIES;Allies
DIPLOMACY_FILTER_ALLIES_TOOLTIP;List our current allies
DIPLOMACY_FILTER_ASIA;Asia
DIPLOMACY_FILTER_ASIA_TOOLTIP;List 即Asian劬 countries
DIPLOMACY_FILTER_ENEMIES;Enemies
DIPLOMACY_FILTER_ENEMIES_TOOLTIP;List our current enemies
DIPLOMACY_FILTER_EUROPE;Europe
DIPLOMACY_FILTER_EUROPE_TOOLTIP;List 即European劬 countries
DIPLOMACY_FILTER_NEIGHBOURS;Neighbours
DIPLOMACY_FILTER_NEIGHBOURS_TOOLTIP;List your neighbouring countries
DIPLOMACY_FILTER_NORTH_AMERICA;North America
DIPLOMACY_FILTER_NORTH_AMERICA_TOOLTIP;List 即North American劬 countries
DIPLOMACY_FILTER_OCEANIA;Oceania
DIPLOMACY_FILTER_OCEANIA_TOOLTIP;List countries in 即Oceania劬
DIPLOMACY_FILTER_SOUTH_AMERICA;South America
DIPLOMACY_FILTER_SOUTH_AMERICA_TOOLTIP;List 即South American劬 countries
DIPLOMACY_FILTER_SPHERE;Sphere
DIPLOMACY_FILTER_SPHERE_TOOLTIP;List countries in our 即Sphere of Influence劬
DIPLOMACY_FRIENDLY_LABEL;Friendly:
DIPLOMACY_GP_INFO;Show Great Powers
DIPLOMACY_GREATNATION_STATUS;Great Power
DIPLOMACY_INFAMY;Infamy: 即$VALUE$劬
DIPLOMACY_INFAMY2;Infamy: $VALUE$
DIPLOMACY_INFLUENCE_NOT_WORTH;We are already influencing this country at maximum, and there is no other country influencing it. No points are spent for now.
DIPLOMACY_JOIN_WAR;Join war against:\n
DIPLOMACY_MILITANCY2;Militancy: $VALUE$
DIPLOMACY_MILITARY;Mil.
DIPLOMACY_NEGOTIATE_SUBSTATE;We are not allowed to negotiate with 即Substates劬
DIPLOMACY_NEGOTIATE_VASSAL;We are not allowed to negotiate with 即Satellites劬 or 即Dominions劬
DIPLOMACY_NEGOTIATE_WE_SUBSTATE;We are not allowed to negotiate with countries if we are a 即Substate劬
DIPLOMACY_NEGOTIATE_WE_VASSAL;We are not allowed to negotiate with countries if we are a 即Satellite劬 or 即Dominion劬
DIPLOMACY_NOT_ENOUGH_MONTHS;We can only join the war after at least 即$VALUE$ months劬 has passed since the war started
DIPLOMACY_NOT_ENOUGH_WARSCORE;We can only join the losing side of a war, when the current warscore is at least 即$VALUE$%劬
DIPLOMACY_OPINION;Opinion
DIPLOMACY_OPINION_INFLUENCE;Opinion of 即$GP$劬: 即$OPINION$劬
DIPLOMACY_OPINION_INFLUENCE2;即$GP_ADJ$劬 influence: 即$VALUE$劬
DIPLOMACY_OPINION_INVESTMENT;即$GP_ADJ$劬 investment: 即$VALUE$e!e
DIPLOMACY_POPULATION_LABEL;Population
DIPLOMACY_PRESTIGE;Pres.
DIPLOMACY_PRESTIGE2;Prestige: $VALUE$
DIPLOMACY_PRIMARYCULTURE_DESC;The primary culture represents people who are first-class citizens in our country
DIPLOMACY_PRIMITIVENATION_STATUS;Primitive Nation
DIPLOMACY_PRIO;Prio
DIPLOMACY_PRIO_HIGH;High
DIPLOMACY_PRIO_LOW;Low
DIPLOMACY_PRIO_MIDDLE;Middle
DIPLOMACY_PRIO_NONE;None
DIPLOMACY_PROTECTED;Protected by:
DIPLOMACY_SET_PRIO;Current influence priority is 即$VALUE$劬.
DIPLOMACY_SET_PRIO_DESC;Influence represents a 即Great Power劬's clout inside a country.
DIPLOMACY_SHIPS;Ships: 即$VALUE$劬
DIPLOMACY_SORT_BY_BOSS_TOOLTIP;Sort by 即Sphere of Influence劬
DIPLOMACY_SORT_BY_COUNTRY_NAME_TOOLTIP;Sort by country name
DIPLOMACY_SORT_BY_ECONOMIC_TOOLTIP;Sort by 即Industrial rank劬
DIPLOMACY_SORT_BY_GREATPOWER_TOOLTIP;Sort by influence of $COUNTRY$
DIPLOMACY_SORT_BY_MILITARY_TOOLTIP;Sort by 即Military rank劬
DIPLOMACY_SORT_BY_OPINION_TOOLTIP;Sort by 即Opinion劬
DIPLOMACY_SORT_BY_PRESTIGE_TOOLTIP;Sort by 即Prestige rank劬
DIPLOMACY_SORT_BY_PRIORITY_TOOLTIP;Sort by influence priority
DIPLOMACY_SORT_BY_RELATION_TOOLTIP;Sort by 即Relation劬
DIPLOMACY_SORT_BY_TOTAL_TOOLTIP;Sort by rank
DIPLOMACY_SPHERE_LABEL;Sphere:
DIPLOMACY_THEY_BETTER_OPINION;We cannot target 即$TARGET$劬 with this action, since 即$RECIPIENT$劬 has a 即$OPINION$劬 opinion of them.\n
DIPLOMACY_THEY_BETTER_OPINION2;They need to have at least equal opinion of us to be able to influence them. Their current opinion of us is 即$OPINION$劬.
DIPLOMACY_TOTAL;Rank
DIPLOMACY_TOTAL_LABEL;Total:
DIPLOMACY_TRUCE_WITH;Truce with:
DIPLOMACY_UNCIVILIZEDNATION_APPEND;(Uncivilized)
DIPLOMACY_UNCIVILIZEDNATION_STATUS;Uncivilized Nation
DIPLOMACY_WAR_EXHAUSTION;War Exhaustion: 即$VALUE$%劬
DIPLOMACY_WAR_HASTRUCE;刪We have a truce with 即$COUNTRY$刪 until 即$DATE$刪. Declaring war on them cause a significant hit to our international prestige
DIPLOMACY_WAR_INFO;Show wars
DIPLOMACY_WARDIALOG_ALLIES;即$COUNTRY$劬 is protected by the following nation(s):
DIPLOMACY_WARDIALOG_ALLY;Ally
DIPLOMACY_WARDIALOG_NUM_ALLIES;即$COUNTRY$劬 is protected by 即$NUM$劬 nation(s)
DIPLOMACY_WARSCORE_LABEL;Warscore:
diplomat;Diplomat
diplomatic;Diplomatic
DIPLOMATIC_BALANCE_DESC;Diplomatic Balance
diplomatic_focus;Diplomacy
DIPLOMATIC_POINTS_TECH;Diplomatic points
DIPRELCH_DEPENDENCY;Puppet-Master Relationship
DIPRELCH_DIP_SKILL;Diplomatic Skill
DIPRELCH_GUARANTEE;Guarantees
DIPRELCH_HASACCESS;Military Access
DIPRELCH_INFLUENCE;Diplomatic Influence
DIPRELCH_NBOR_PEACE;Neighbours at Peace
DIPRELCH_TRADEAGREEMENT;Trade Agreement
DIPRELCH_VALID_CB;Valid Casus Belli
DIPRELCH_WAR;War
direct_current;Direct Current
